bucket,x,y,z,p,q,r
personal_development,2026-02-02 17:00:00,"Meeting with Dr. Athal","Psychological rebuild",0,0,0
personal_development,2026-02-03 23:59:59,"Follow up with Shashank Shekhar for letter on coverhead","I will increase my chances of getting the letter within the next 2-3 days",0,0,0
personal_development,2026-02-04 09:00:00,"Speak to the tout (marriage registered)","This will make it easy to complete Silvia's name change, and be a symbol of me taking ownership of the marriage.",0,0,0
personal_development,2026-02-28 09:00:00,"Finish the Udemy calculus course I signed up for","To 10x my ability to visualize data",0,0,0
thing,2026-02-28 23:59:59,"Lost at least 5 kgs","Look great in slimmer clothes and photos during our 1 year wedding anniversary",0,0,0
personal_development,2026-03-01 09:00:00,"Use the new prayer-infused morning anchor, and the 10am-3pm eating window, to become 5 kgs lighter than I was on February 1, 2026","To not simply lose fat, but prepare my mind, body, spirit – for a crusade.",0,0,0
economic,2026-05-05 23:59:59,"Replenish my doomsday saving account with at least 50% of my one month's salary","Will add a security blanket for my family",0,0,0
personal_development,2026-05-31 09:00:00,"Land in Germany with wife and a job","So we can start family planning, and plonking out kids to raise them in clean air and a culture that prioritizes physical fitness",0,0,0
economic,2026-05-31 23:59:59,"Paid off all the remnants of the credit card loan","Improve the amount of money I can direct towards savings",0,0,0
thing,2026-12-30 23:59:59,"Learned open water swimming","So I can flex during beach vacations doing crazy stuff",0,0,0
economic,2026-12-31 23:59:59,"Paid off the car loan I took from Warren","Freedom – for the borrower is slave to the lender",0,0,0
personal_development,2026-12-31 23:59:59,"Discarded everything except at most 300 items","By owning less than 300 things, I can unclutter my mind and also set up myself for a life of minimalism – which will improve my ability to spend less than I earn",0,0,0
thing,2027-03-01 23:59:59,"Celebrate second year anniversary with pregnant wife on a nice beach, and be totally ripped with 8 pack abs for photos","Would have created an amazing photo album for my kids to see later on in life",0,0,0
thing,2027-06-01 23:59:59,"Own the top-end Alienware laptop of the time","Fulfillment of childhood dream",0,0,0
personal_development,2027-12-31 23:59:59,"Acquired strong intuitive foundations in all mathematical concepts underlying data science and machine learning","Set myself up to be able to iterate in deep tech businesses with greater precision",0,0,0
thing,2029-12-31 23:59:59,"Own a red Ferrari Amalfi","Fulfills a childhood dream",0,0,0
personal_development,2030-12-31 23:59:59,"Father 3 kids","Set up a system where I can raise my kids during my 40s-60s when my vitality is maximal",0,0,0
thing,2033-03-01 23:59:59,"Take wife and 3 kids to a 2 week holiday to the Holy See and Israel","To honour the 2000th year since the crucifixion",0,0,0
personal_development,2049-12-31 23:59:59,"Taken my own personal computing company for 'power users' from cash flow dead to cash flow alive – which would sell a laptop, mobile and tablet","Given power users of computers an elegant alternative to the horrible Windows, Mac, and Android experiences they are currently stuck with",0,0,0
personal_development,2100-01-01 23:59:59,"Me and my wife would have lived till the onset of the 22nd century","Me and my wife would get to see a whole new world",0,0,0
